lake,year,ct
nhdhr_114542575,2018,Low consumption
nhdhr_114544961,1979,Low consumption
nhdhr_114544961,1980,Low consumption
nhdhr_114544961,1981,Low consumption
nhdhr_114544961,1982,Low consumption
nhdhr_114544961,1983,Low consumption
nhdhr_114544961,1984,Low consumption
nhdhr_114544961,1985,Low consumption
nhdhr_114544961,1986,Low consumption
nhdhr_114544961,1987,Low consumption
nhdhr_114544961,1988,Low consumption
nhdhr_114544961,1989,Low consumption
nhdhr_114544961,1990,Low consumption
nhdhr_114544961,1991,Low consumption
nhdhr_114544961,1992,Low consumption
nhdhr_114544961,1993,Low consumption
nhdhr_114544961,1994,Low consumption
nhdhr_114544961,1995,Low consumption
nhdhr_114544961,1996,Low consumption
nhdhr_114544961,1997,Low consumption
nhdhr_114544961,1998,Low consumption
nhdhr_114544961,1999,Low consumption
nhdhr_114544961,2000,Low consumption
nhdhr_114544961,2001,Low consumption
nhdhr_114544961,2002,Low consumption
nhdhr_114544961,2003,Low consumption
nhdhr_114544961,2004,Low consumption
nhdhr_114544961,2005,Low consumption
nhdhr_114544961,2006,Low consumption
nhdhr_114544961,2007,Low consumption
nhdhr_114544961,2008,Low consumption
nhdhr_114544961,2009,Low consumption
nhdhr_114544961,2010,Low consumption
nhdhr_114544961,2011,Low consumption
nhdhr_114544961,2012,Low consumption
nhdhr_114544961,2013,Low consumption
nhdhr_114544961,2014,Low consumption
nhdhr_114544961,2015,Low consumption
nhdhr_114544961,2016,Low consumption
nhdhr_114544961,2017,Low consumption
nhdhr_114544961,2018,Low consumption
nhdhr_120017988,1979,Heavy consumption
nhdhr_120017988,1980,Heavy consumption
nhdhr_120017988,1981,Heavy consumption
nhdhr_120017988,1982,Heavy consumption
nhdhr_120017988,1983,Heavy consumption
nhdhr_120017988,1984,Heavy consumption
nhdhr_120017988,1985,Heavy consumption
nhdhr_120017988,1986,Heavy consumption
nhdhr_120017988,1987,Heavy consumption
nhdhr_120017988,1988,Heavy consumption
nhdhr_120017988,1989,Heavy consumption
nhdhr_120017988,1990,Heavy consumption
nhdhr_120017988,1991,Heavy consumption
nhdhr_120017988,1992,Heavy consumption
nhdhr_120017988,1993,Heavy consumption
nhdhr_120017988,1994,Heavy consumption
nhdhr_120017988,1995,Heavy consumption
nhdhr_120017988,1996,Heavy consumption
nhdhr_120017988,1997,Heavy consumption
nhdhr_120017988,1998,Heavy consumption
nhdhr_120017988,1999,Heavy consumption
nhdhr_120017988,2000,Heavy consumption
nhdhr_120017988,2001,Heavy consumption
nhdhr_120017988,2002,Heavy consumption
nhdhr_120017988,2003,Heavy consumption
nhdhr_120017988,2004,Heavy consumption
nhdhr_120017988,2005,Heavy consumption
nhdhr_120017988,2006,Heavy consumption
nhdhr_120017988,2007,Heavy consumption
nhdhr_120017988,2008,Heavy consumption
nhdhr_120017988,2009,Heavy consumption
nhdhr_120017988,2010,Heavy consumption
nhdhr_120017988,2011,Heavy consumption
nhdhr_120017988,2012,Heavy consumption
nhdhr_120017988,2013,Heavy consumption
nhdhr_120017988,2014,Heavy consumption
nhdhr_120017988,2015,Heavy consumption
nhdhr_120017988,2016,Heavy consumption
nhdhr_120017988,2017,Heavy consumption
nhdhr_120017988,2018,Heavy consumption
nhdhr_120017991,1979,Heavy consumption
nhdhr_120017991,1980,Heavy consumption
nhdhr_120017991,1981,Heavy consumption
nhdhr_120017991,1982,Heavy consumption
nhdhr_120017991,1983,Heavy consumption
nhdhr_120017991,1984,Heavy consumption
nhdhr_120017991,1985,Heavy consumption
nhdhr_120017991,1986,Heavy consumption
nhdhr_120017991,1987,Heavy consumption
nhdhr_120017991,1988,Heavy consumption
nhdhr_120017991,1989,Heavy consumption
nhdhr_120017991,1990,Heavy consumption
nhdhr_120017991,1991,Heavy consumption
nhdhr_120017991,1992,Heavy consumption
nhdhr_120017991,1993,Heavy consumption
nhdhr_120017991,1994,Heavy consumption
nhdhr_120017991,1995,Heavy consumption
nhdhr_120017991,1996,Heavy consumption
nhdhr_120017991,1997,Heavy consumption
nhdhr_120017991,1998,Heavy consumption
nhdhr_120017991,1999,Heavy consumption
nhdhr_120017991,2000,Heavy consumption
nhdhr_120017991,2001,Heavy consumption
nhdhr_120017991,2002,Heavy consumption
nhdhr_120017991,2003,Heavy consumption
nhdhr_120017991,2004,Heavy consumption
nhdhr_120017991,2005,Heavy consumption
nhdhr_120017991,2006,Heavy consumption
nhdhr_120017991,2007,Heavy consumption
nhdhr_120017991,2008,Heavy consumption
nhdhr_120017991,2009,Low consumption
nhdhr_120017991,2010,Heavy consumption
nhdhr_120017991,2011,Heavy consumption
nhdhr_120017991,2012,Heavy consumption
nhdhr_120017991,2013,Heavy consumption
nhdhr_120017991,2014,Heavy consumption
nhdhr_120017991,2015,Low consumption
nhdhr_120017991,2016,Heavy consumption
nhdhr_120017991,2017,Heavy consumption
nhdhr_120017991,2018,Heavy consumption
nhdhr_120017997,1979,Heavy consumption
nhdhr_120017997,1980,Heavy consumption
nhdhr_120017997,1981,Heavy consumption
nhdhr_120017997,1982,Heavy consumption
nhdhr_120017997,1983,Heavy consumption
nhdhr_120017997,1984,Heavy consumption
nhdhr_120017997,1985,Heavy consumption
nhdhr_120017997,1986,Heavy consumption
nhdhr_120017997,1987,Heavy consumption
nhdhr_120017997,1988,Heavy consumption
nhdhr_120017997,1989,Heavy consumption
nhdhr_120017997,1990,Heavy consumption
nhdhr_120017997,1991,Heavy consumption
nhdhr_120017997,1992,Heavy consumption
nhdhr_120017997,1993,Heavy consumption
nhdhr_120017997,1994,Heavy consumption
nhdhr_120017997,1995,Heavy consumption
nhdhr_120017997,1996,Heavy consumption
nhdhr_120017997,1997,Heavy consumption
nhdhr_120017997,1998,Heavy consumption
nhdhr_120017997,1999,Heavy consumption
nhdhr_120017997,2000,Heavy consumption
nhdhr_120017997,2001,Heavy consumption
nhdhr_120017997,2002,Heavy consumption
nhdhr_120017997,2003,Heavy consumption
nhdhr_120017997,2004,Heavy consumption
nhdhr_120017997,2005,Heavy consumption
nhdhr_120017997,2006,Heavy consumption
nhdhr_120017997,2007,Heavy consumption
nhdhr_120017997,2008,Heavy consumption
nhdhr_120017997,2009,Heavy consumption
nhdhr_120017997,2010,Heavy consumption
nhdhr_120017997,2011,Heavy consumption
nhdhr_120017997,2012,Heavy consumption
nhdhr_120017997,2013,Heavy consumption
nhdhr_120017997,2014,Heavy consumption
nhdhr_120017997,2015,Heavy consumption
nhdhr_120017997,2016,Heavy consumption
nhdhr_120017997,2017,Heavy consumption
nhdhr_120017997,2018,Heavy consumption
nhdhr_120018005,1979,Heavy consumption
nhdhr_120018005,1980,Heavy consumption
nhdhr_120018005,1981,Heavy consumption
nhdhr_120018005,1982,Heavy consumption
nhdhr_120018005,1983,Heavy consumption
nhdhr_120018005,1984,Heavy consumption
nhdhr_120018005,1985,Heavy consumption
nhdhr_120018005,1986,Heavy consumption
nhdhr_120018005,1987,Heavy consumption
nhdhr_120018005,1988,Heavy consumption
nhdhr_120018005,1989,Heavy consumption
nhdhr_120018005,1990,Heavy consumption
nhdhr_120018005,1991,Heavy consumption
nhdhr_120018005,1992,Heavy consumption
nhdhr_120018005,1993,Heavy consumption
nhdhr_120018005,1994,Heavy consumption
nhdhr_120018005,1995,Heavy consumption
nhdhr_120018005,1996,Heavy consumption
nhdhr_120018005,1997,Heavy consumption
nhdhr_120018005,1998,Heavy consumption
nhdhr_120018005,1999,Heavy consumption
nhdhr_120018005,2000,Heavy consumption
nhdhr_120018005,2001,Heavy consumption
nhdhr_120018005,2002,Heavy consumption
nhdhr_120018005,2003,Heavy consumption
nhdhr_120018005,2004,Heavy consumption
nhdhr_120018005,2005,Heavy consumption
nhdhr_120018005,2006,Heavy consumption
nhdhr_120018005,2007,Heavy consumption
nhdhr_120018005,2008,Heavy consumption
nhdhr_120018005,2009,Heavy consumption
nhdhr_120018005,2010,Heavy consumption
